6, 12, 18
6, 13, 18
5, 12, 17
5, 12, 18
6, 13, 18
6, 13, 18
6, 13, 18
5, 12, 17
6, 13, 18
6, 14, 19
6, 14, 19
7, 14, 20
6, 13, 19
6, 13, 18
6, 12, 20
8, 17, 22
6, 14, 24
8, 16, 21
7, 15, 24
9, 19, 25
7, 14, 22
7, 16, 21
6, 12, 19
6, 12, 18
7, 14, 19
8, 18, 21
9, 17, 23
8, 16, 22
7, 14, 21
9, 17, 23
7, 14, 21
5, 12, 16
5, 12, 17
5, 11, 19
6, 14, 19
6, 14, 18
5, 12, 18
5, 11, 17
6, 15, 18
5, 12, 18
6, 13, 19
6, 14, 20
6, 13, 20
6, 14, 19
6, 14, 18
6, 14, 19
6, 14, 20
6, 13, 21
7, 14, 20
8, 16, 23
7, 15, 24
8, 16, 22
7, 15, 24
10, 20, 27
8, 18, 25
8, 16, 20
6, 13, 19
6, 13, 19
6, 14, 19
7, 16, 21
6, 12, 18
6, 14, 19
5, 11, 17
6, 12, 18
6, 14, 19
7, 14, 19
7, 13, 19
6, 13, 18
5, 13, 18
5, 12, 18
5, 12, 15
4, 9, 14
5, 10, 16
4, 11, 16
4, 11, 16
5, 10, 16
5, 12, 14
5, 10, 16
5, 12, 16
5, 13, 17
5, 12, 17
4, 10, 15
7, 15, 18
4, 12, 16
4, 10, 16
5, 12, 18
5, 12, 18
7, 15, 21
8, 17, 25
8, 15, 26
7, 15, 25
9, 17, 26
9, 19, 27
8, 17, 25
9, 18, 23
8, 16, 22
7, 16, 21
7, 13, 21
5, 12, 19
6, 12, 19
