39, 11, 1
39, 11, 1
39, 11, 1
39, 11, 1
39, 11, 1
39, 11, 1
39, 11, 1
39, 11, 1
39, 11, 2
39, 11, 2
39, 11, 2
39, 11, 2
39, 11, 2
39, 11, 1
38, 11, 1
38, 10, 1
38, 11, 1
38, 11, 1
39, 11, 2
39, 11, 1
36, 10, 0
33, 9, 0
39, 11, 1
38, 11, 1
42, 11, 1
44, 12, 1
44, 13, 2
46, 13, 2
43, 12, 2
41, 13, 2
36, 10, 1
35, 9, 0
38, 11, 1
34, 10, 1
34, 11, 1
33, 10, 0
36, 10, 1
33, 9, 0
37, 12, 1
31, 8, 0
35, 10, 0
33, 9, 1
34, 11, 0
31, 10, 0
31, 9, 0
36, 10, 1
42, 13, 2
39, 11, 1
42, 12, 1
42, 12, 2
45, 12, 1
44, 12, 2
42, 10, 1
42, 12, 2
43, 12, 2
42, 12, 1
42, 12, 2
40, 10, 2
43, 12, 2
43, 10, 2
41, 10, 2
42, 10, 2
42, 13, 2
39, 12, 1
37, 11, 1
36, 10, 1
35, 10, 1
36, 10, 1
35, 10, 0
34, 8, 0
37, 11, 0
38, 11, 1
38, 9, 1
39, 12, 1
39, 11, 1
38, 10, 1
37, 10, 0
37, 11, 1
36, 10, 1
34, 10, 0
35, 11, 1
36, 11, 1
35, 9, 1
35, 11, 1
35, 10, 1
31, 9, 0
32, 9, 0
37, 10, 1
37, 10, 1
37, 12, 1
38, 11, 1
39, 12, 1
40, 11, 1
41, 12, 2
41, 12, 2
41, 14, 2
40, 12, 2
41, 12, 2
41, 11, 2
42, 10, 2
