44, 52, 46
44, 52, 45
44, 51, 45
44, 51, 45
44, 51, 45
44, 52, 46
44, 51, 45
44, 51, 45
44, 52, 45
45, 51, 47
46, 53, 48
44, 52, 47
50, 57, 52
44, 51, 47
45, 51, 49
55, 64, 59
55, 63, 57
53, 60, 55
49, 56, 52
48, 56, 50
48, 56, 50
55, 64, 58
55, 57, 62
67, 54, 57
14, 12, 5
0, 0, 0
0, 0, 0
0, 0, 0
55, 53, 41
67, 69, 55
62, 67, 53
47, 52, 42
40, 44, 38
37, 40, 35
39, 42, 37
34, 38, 33
32, 35, 32
29, 33, 29
23, 26, 24
18, 20, 18
15, 17, 15
14, 15, 13
14, 16, 14
20, 22, 20
37, 42, 38
49, 57, 51
44, 50, 45
43, 50, 44
43, 50, 44
43, 50, 44
43, 50, 44
43, 50, 44
43, 50, 44
43, 50, 44
43, 50, 44
42, 49, 44
40, 47, 42
34, 38, 35
32, 36, 33
36, 42, 37
37, 43, 39
42, 48, 44
39, 44, 41
42, 47, 44
41, 47, 43
43, 49, 45
40, 46, 41
44, 51, 45
43, 49, 44
46, 54, 48
46, 54, 48
46, 54, 48
43, 49, 45
40, 45, 43
38, 43, 40
39, 44, 41
38, 44, 40
38, 44, 40
41, 47, 44
43, 48, 45
50, 58, 52
46, 53, 48
49, 57, 48
46, 53, 48
52, 60, 51
43, 51, 42
43, 50, 43
44, 50, 45
43, 49, 44
44, 51, 46
40, 47, 41
40, 46, 41
41, 47, 42
40, 47, 41
40, 46, 41
43, 50, 46
39, 45, 41
42, 47, 44
37, 44, 39
44, 51, 47
