39, 42, 7
39, 42, 7
39, 42, 7
38, 42, 6
38, 42, 7
38, 42, 6
38, 42, 7
38, 42, 6
38, 41, 6
38, 42, 7
38, 42, 7
38, 41, 6
39, 43, 7
39, 42, 7
39, 43, 7
38, 41, 8
38, 44, 8
37, 40, 7
39, 43, 7
39, 44, 7
36, 40, 6
37, 42, 6
37, 40, 7
38, 43, 8
36, 38, 6
36, 42, 6
36, 40, 6
38, 43, 7
37, 42, 7
36, 40, 7
35, 39, 6
33, 38, 5
33, 37, 6
32, 36, 5
34, 38, 6
34, 38, 6
35, 38, 6
35, 39, 6
33, 35, 5
35, 40, 7
33, 37, 6
33, 36, 5
32, 35, 4
32, 36, 5
32, 34, 5
32, 34, 5
34, 38, 6
34, 37, 6
34, 38, 6
37, 40, 8
39, 43, 8
39, 43, 7
39, 43, 7
38, 42, 6
38, 42, 6
39, 44, 8
39, 43, 7
41, 45, 9
41, 46, 8
42, 45, 9
44, 48, 9
42, 47, 7
43, 48, 8
41, 46, 8
40, 45, 8
39, 43, 7
38, 43, 7
39, 44, 7
39, 44, 8
36, 39, 6
36, 39, 6
36, 38, 6
32, 35, 5
28, 31, 4
28, 30, 4
28, 31, 4
30, 33, 5
32, 36, 5
31, 35, 5
35, 39, 7
30, 33, 5
33, 36, 6
35, 40, 5
33, 36, 5
35, 38, 6
37, 41, 7
38, 41, 7
38, 41, 7
38, 42, 7
38, 42, 6
42, 47, 8
39, 44, 8
40, 45, 8
40, 45, 8
39, 44, 7
38, 41, 6
36, 41, 6
36, 40, 7
35, 40, 6
35, 38, 6
