35, 7, 7
35, 7, 7
34, 7, 7
34, 7, 7
34, 7, 7
34, 7, 7
35, 7, 7
34, 7, 7
32, 7, 8
28, 6, 3
30, 7, 4
33, 7, 5
35, 7, 5
37, 8, 7
38, 8, 8
37, 7, 8
40, 10, 7
37, 9, 7
36, 8, 6
35, 8, 6
35, 8, 6
34, 6, 6
35, 8, 6
35, 7, 5
35, 7, 7
33, 6, 5
30, 6, 5
30, 6, 5
31, 6, 6
31, 7, 6
31, 6, 5
31, 7, 6
31, 7, 5
30, 6, 5
29, 6, 5
29, 6, 5
29, 6, 4
30, 6, 5
29, 6, 5
29, 6, 5
31, 7, 5
32, 7, 6
32, 7, 5
32, 7, 6
34, 8, 6
35, 7, 5
36, 8, 7
33, 7, 5
32, 8, 5
31, 7, 6
30, 6, 4
32, 7, 6
34, 7, 6
35, 7, 6
36, 8, 7
36, 6, 8
36, 7, 6
37, 7, 6
38, 8, 8
37, 8, 8
36, 7, 6
38, 7, 7
40, 9, 8
41, 9, 8
41, 10, 8
39, 7, 7
39, 9, 8
38, 8, 6
38, 8, 6
39, 10, 8
36, 8, 6
36, 9, 6
33, 7, 6
34, 6, 7
33, 6, 6
35, 7, 6
35, 7, 6
36, 7, 7
35, 6, 7
34, 7, 5
32, 7, 5
34, 8, 6
32, 7, 4
31, 6, 5
31, 6, 5
30, 6, 4
30, 6, 4
29, 6, 5
30, 7, 6
31, 7, 5
29, 6, 4
31, 6, 5
30, 7, 5
31, 7, 5
30, 7, 5
28, 5, 3
28, 6, 4
29, 6, 4
29, 6, 5
31, 6, 5
