39, 42, 16
38, 42, 15
38, 41, 15
38, 42, 15
38, 42, 15
38, 41, 15
37, 41, 15
37, 41, 15
37, 41, 15
37, 41, 14
37, 42, 13
36, 40, 14
37, 41, 15
37, 42, 14
38, 42, 17
37, 41, 14
39, 44, 15
38, 42, 14
40, 44, 15
40, 44, 15
38, 42, 14
35, 39, 12
36, 39, 13
36, 40, 13
37, 41, 15
38, 44, 14
37, 41, 13
37, 42, 14
36, 39, 13
37, 41, 15
37, 41, 15
33, 36, 13
33, 37, 14
33, 37, 13
35, 38, 14
33, 37, 13
34, 37, 14
35, 38, 13
35, 38, 13
34, 37, 13
34, 37, 13
36, 40, 14
36, 41, 14
36, 40, 13
35, 39, 12
36, 40, 15
35, 39, 12
35, 39, 12
37, 40, 13
37, 40, 14
36, 39, 14
35, 38, 13
34, 38, 11
34, 38, 13
37, 42, 15
36, 42, 14
35, 39, 13
36, 41, 13
37, 41, 16
35, 39, 14
32, 35, 12
34, 37, 14
34, 37, 13
32, 36, 12
33, 36, 12
31, 35, 11
33, 38, 13
33, 37, 13
36, 41, 14
41, 45, 16
37, 42, 13
40, 44, 15
38, 43, 14
36, 40, 13
35, 40, 13
36, 40, 14
36, 40, 13
36, 39, 13
36, 40, 14
36, 39, 13
35, 39, 13
36, 39, 14
36, 40, 13
37, 40, 13
37, 40, 13
37, 40, 14
36, 40, 13
36, 40, 13
36, 40, 13
37, 41, 14
36, 39, 13
36, 40, 14
36, 40, 13
36, 39, 13
36, 40, 14
37, 41, 14
37, 40, 14
35, 38, 13
33, 37, 12
32, 36, 11
