4, 7, 15
4, 6, 15
4, 7, 15
4, 7, 15
4, 7, 15
4, 6, 15
4, 6, 15
4, 6, 14
4, 6, 15
4, 6, 15
5, 6, 18
4, 7, 16
4, 6, 16
4, 6, 16
4, 6, 16
4, 7, 16
5, 7, 16
5, 7, 17
4, 6, 17
6, 8, 18
5, 6, 18
5, 7, 19
5, 7, 20
5, 7, 19
5, 7, 16
6, 7, 18
6, 8, 19
4, 6, 17
5, 7, 18
4, 6, 16
4, 7, 15
5, 8, 17
5, 8, 17
4, 6, 16
5, 8, 17
5, 7, 17
5, 7, 18
6, 7, 18
5, 7, 18
5, 7, 18
5, 7, 17
5, 7, 18
4, 6, 17
4, 7, 17
4, 7, 16
5, 7, 17
4, 7, 15
5, 7, 16
5, 6, 17
4, 6, 13
4, 5, 15
4, 6, 13
5, 7, 14
4, 5, 15
6, 10, 18
6, 8, 21
7, 9, 21
6, 9, 24
6, 9, 23
6, 9, 22
6, 8, 20
5, 9, 19
6, 9, 19
6, 10, 19
6, 9, 19
6, 9, 19
4, 6, 16
4, 7, 15
4, 6, 14
4, 6, 15
5, 7, 16
4, 6, 15
4, 7, 15
5, 8, 15
5, 7, 17
4, 8, 14
5, 7, 16
5, 7, 17
3, 6, 14
5, 7, 18
5, 7, 19
6, 9, 20
6, 9, 20
6, 9, 19
6, 9, 20
6, 10, 19
6, 9, 20
8, 11, 24
6, 10, 20
8, 11, 22
7, 9, 21
5, 8, 18
5, 8, 18
4, 7, 16
4, 6, 15
4, 5, 16
7, 7, 19
5, 7, 15
4, 7, 15
4, 7, 14
